Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
106,0.160,10.737,25.160,0,10.897,25.160,0,0.160,0.160,255,255
107,0.227,10.897,25.801,0,11.058,25.962,0,0.227,0.227,255,255
108,1.454,11.378,26.763,0,12.179,27.885,0,1.379,1.414,255,255
109,0.387,11.699,33.974,0,11.859,34.295,0,0.358,0.406,255,255
110,1.509,11.859,1.122,0,12.019,2.564,0,1.451,1.458,255,255
111,1.067,12.179,17.788,0,12.981,17.147,0,1.026,1.085,255,255
112,4.549,12.340,25.000,0,14.744,28.365,0,4.136,4.236,255,255
112,1.387,13.622,29.006,0,14.744,28.365,0,1.292,0.846,255,255
112,0.614,13.141,28.686,0,13.622,29.006,0,0.578,0.598,255,255
112,0.614,15.224,28.686,0,14.744,28.365,0,0.578,0.406,255,255
112,0.321,13.622,29.327,0,13.622,29.006,0,0.321,0.321,255,255
113,0.321,12.660,3.365,0,12.981,3.365,0,0.321,0.321,255,255
114,3.963,13.141,36.699,0,14.583,40.064,0,3.661,3.755,255,255
114,0.614,14.103,40.385,0,14.583,40.064,0,0.578,0.406,255,255
114,0.614,14.904,40.545,0,14.583,40.064,0,0.578,0.339,255,255
115,1.000,13.301,19.071,0,13.942,18.429,0,0.907,0.842,255,255
117,0.387,13.462,15.705,0,13.782,15.545,0,0.358,0.339,255,255
118,1.520,13.942,20.513,0,15.064,19.551,0,1.477,1.436,255,255
119,0.547,14.263,0.160,0,14.744,0.321,0,0.507,0.508,255,255
120,0.227,14.423,16.987,0,14.583,16.827,0,0.227,0.227,255,255
121,1.747,14.583,15.545,0,15.705,14.263,0,1.704,1.617,255,255
123,4.134,20.994,40.385,0,18.750,37.179,0,3.912,3.790,255,255
123,3.162,18.910,40.385,0,17.308,37.981,0,2.889,2.828,255,255
123,2.935,14.904,36.378,0,16.186,38.782,0,2.724,2.676,255,255
123,1.934,16.987,40.385,0,16.186,38.782,0,1.792,1.872,255,255
123,1.907,17.308,37.981,0,18.750,37.179,0,1.650,1.199,255,255
123,1.548,16.186,38.782,0,17.308,37.981,0,1.379,1.016,255,255
123,1.161,16.827,37.019,0,17.308,37.981,0,1.075,1.047,255,255
123,0.321,18.750,36.859,0,18.750,37.179,0,0.321,0.321,255,255
124,0.160,15.064,33.494,0,15.224,33.494,0,0.160,0.160,255,255
125,0.160,15.705,0.481,0,15.865,0.481,0,0.160,0.160,255,255
126,2.001,16.186,13.462,0,17.147,11.859,0,1.869,1.804,255,255
127,0.707,16.506,31.090,0,16.667,31.731,0,0.661,0.655,255,255
128,0.321,16.506,35.897,0,16.506,36.218,0,0.321,0.321,255,255
129,0.160,16.987,1.122,0,17.147,1.122,0,0.160,0.160,255,255
130,0.160,17.147,34.295,0,17.308,34.295,0,0.160,0.160,255,255
131,0.160,17.308,0.160,0,17.468,0.160,0,0.160,0.160,255,255
133,0.160,18.109,0.801,0,18.269,0.801,0,0.160,0.160,255,255
134,0.387,18.109,29.808,0,18.269,29.487,0,0.358,0.339,255,255
135,0.321,18.109,35.417,0,18.109,35.737,0,0.321,0.321,255,255
136,0.547,18.269,32.212,0,18.429,31.731,0,0.507,0.575,255,255
137,0.160,18.910,33.654,0,19.071,33.654,0,0.160,0.160,255,255
138,0.387,19.071,1.122,0,19.391,1.282,0,0.358,0.339,255,255
140,0.614,19.231,1.923,0,19.551,2.404,0,0.578,0.646,255,255
141,0.160,19.551,33.494,0,19.712,33.494,0,0.160,0.160,255,255
142,0.547,19.712,34.936,0,19.872,35.417,0,0.507,0.508,255,255
143,2.990,21.795,29.808,0,20.032,31.090,0,2.180,2.715,255,255
143,1.094,20.032,30.128,0,20.032,31.090,0,0.962,0.997,255,255
143,0.481,20.032,31.571,0,20.032,31.090,0,0.481,0.481,255,255
144,0.160,20.513,29.167,0,20.513,29.327,0,0.160,0.160,255,255
145,5.002,20.673,36.859,0,23.237,40.705,0,4.623,4.667,255,255
147,0.160,21.154,33.013,0,21.314,33.013,0,0.160,0.160,255,255
148,5.030,25.160,34.936,0,27.564,38.782,0,4.536,4.577,255,255
148,4.670,21.955,35.256,0,24.199,38.622,0,4.045,3.992,255,255
148,3.521,30.288,40.705,0,27.564,38.782,0,3.335,3.243,255,255
148,3.388,26.282,40.865,0,24.199,38.622,0,3.062,3.245,255,255
148,3.255,24.199,38.622,0,26.763,39.423,0,2.686,2.611,255,255
148,3.029,29.006,40.865,0,26.763,39.423,0,2.667,2.823,255,255
148,2.509,23.077,33.814,0,21.955,35.256,0,1.827,2.217,255,255
148,1.067,21.314,34.455,0,21.955,35.256,0,1.026,1.004,255,255
148,1.067,26.763,39.423,0,27.564,38.782,0,1.026,0.453,255,255
149,0.387,21.795,28.205,0,21.955,27.885,0,0.358,0.339,255,255
151,9.468,22.756,25.321,0,28.526,18.429,0,8.987,8.995,255,255
151,6.925,28.526,18.429,0,31.731,15.224,0,4.533,6.151,255,255
151,6.019,28.526,18.429,0,31.731,15.224,0,4.533,5.460,255,255
151,5.007,36.538,15.705,0,31.731,15.224,0,4.832,4.852,255,255
151,1.481,22.276,26.603,0,22.756,25.321,0,1.369,1.239,255,255
151,0.840,22.115,24.840,0,22.756,25.321,0,0.801,0.732,255,255
155,0.614,23.237,29.327,0,23.558,28.846,0,0.578,0.598,255,255
157,9.457,26.442,27.404,0,32.212,21.955,0,7.936,8.497,255,255
157,8.031,27.404,28.365,0,32.372,23.237,0,7.140,7.249,255,255
157,7.285,39.423,23.077,0,33.974,24.359,0,5.598,6.725,255,255
157,7.163,28.045,30.128,0,32.853,26.122,0,6.258,6.284,255,255
157,4.764,24.519,31.090,0,26.442,27.404,0,4.157,4.190,255,255
157,4.510,26.603,33.814,0,26.923,29.968,0,3.859,4.112,255,255
157,3.576,38.141,27.404,0,35.096,26.122,0,3.304,3.474,255,255
157,2.869,37.179,25.000,0,35.096,25.160,0,2.089,2.549,255,255
157,2.376,33.654,20.833,0,32.212,21.955,0,1.827,2.249,255,255
157,1.747,32.372,23.237,0,33.654,24.359,0,1.704,1.436,255,255
157,1.680,26.923,29.968,0,28.045,30.128,0,1.133,1.084,255,255
157,1.548,26.442,27.404,0,27.404,28.365,0,1.360,1.002,255,255
157,1.387,32.853,26.122,0,33.494,25.000,0,1.292,0.855,255,255
157,1.348,32.212,21.955,0,32.372,23.237,0,1.292,0.809,255,255
157,1.321,32.853,26.122,0,33.974,26.603,0,1.220,0.950,255,255
157,1.133,27.244,29.327,0,28.045,30.128,0,1.133,0.680,255,255
157,1.094,35.096,25.160,0,35.096,26.122,0,0.962,0.707,255,255
157,1.028,23.558,30.929,0,24.519,31.090,0,0.975,1.000,255,255
157,1.028,27.244,29.327,0,27.404,28.365,0,0.975,0.641,255,255
157,1.000,34.135,25.641,0,34.615,24.840,0,0.934,0.759,255,255
157,0.934,33.974,26.603,0,34.455,25.962,0,0.801,0.500,255,255
157,0.907,33.494,25.000,0,34.135,25.641,0,0.907,0.680,255,255
157,0.840,34.455,27.244,0,33.974,26.603,0,0.801,0.825,255,255
157,0.840,33.974,24.359,0,34.615,24.840,0,0.801,0.453,255,255
157,0.774,26.923,29.968,0,27.244,29.327,0,0.717,0.500,255,255
157,0.707,24.679,31.731,0,24.519,31.090,0,0.661,0.481,255,255
157,0.707,33.494,25.000,0,33.654,24.359,0,0.661,0.321,255,255
157,0.707,34.455,25.962,0,35.096,26.122,0,0.661,0.321,255,255
157,0.614,34.615,24.840,0,35.096,25.160,0,0.578,0.227,255,255
157,0.453,34.135,25.641,0,34.455,25.962,0,0.453,0.227,255,255
157,0.321,33.654,24.359,0,33.974,24.359,0,0.321,0.160,255,255
158,2.227,23.718,27.724,0,24.840,25.962,0,2.089,2.040,255,255
159,2.028,23.718,35.737,0,24.359,37.500,0,1.876,1.891,255,255
160,0.160,23.878,3.205,0,23.878,3.365,0,0.160,0.160,255,255
162,0.160,24.359,4.968,0,24.519,4.968,0,0.160,0.160,255,255
163,1.415,24.519,33.013,0,24.840,34.295,0,1.322,1.327,255,255
164,6.351,24.840,20.673,0,27.404,15.385,0,5.877,6.018,255,255
165,0.641,25.481,3.686,0,25.481,4.327,0,0.641,0.641,255,255
166,17.680,25.481,25.321,0,37.500,17.468,0,14.357,16.685,255,255
167,0.160,26.282,2.724,0,26.442,2.724,0,0.160,0.160,255,255
168,10.032,26.763,34.776,0,33.333,39.263,0,7.957,9.329,255,255
168,3.162,34.936,37.179,0,33.333,39.263,0,2.628,2.927,255,255
168,2.708,36.859,38.301,0,34.936,39.744,0,2.404,2.242,255,255
168,1.934,33.333,39.263,0,34.936,39.744,0,1.673,0.968,255,255
168,1.161,33.494,40.224,0,33.333,39.263,0,0.975,1.127,255,255
168,0.868,35.096,40.545,0,34.936,39.744,0,0.817,0.809,255,255
169,0.614,27.244,2.244,0,27.724,1.923,0,0.578,0.646,255,255
170,2.857,27.404,8.654,0,30.128,8.654,0,2.724,2.758,255,255
171,1.094,27.885,0.641,0,28.846,0.962,0,1.014,1.033,255,255
173,2.708,28.686,5.769,0,30.128,3.846,0,2.404,2.666,255,255
174,0.160,29.327,2.724,0,29.487,2.724,0,0.160,0.160,255,255
175,0.227,29.487,0.160,0,29.647,0.321,0,0.227,0.227,255,255
176,6.389,30.769,30.769,0,28.846,34.776,0,4.444,6.043,255,255
176,5.710,33.654,33.013,0,29.487,36.058,0,5.161,5.331,255,255
176,4.709,32.051,32.051,0,28.846,34.776,0,4.207,4.424,255,255
176,1.548,28.846,34.776,0,29.487,36.058,0,1.433,1.047,255,255
176,1.028,29.647,37.019,0,29.487,36.058,0,0.975,1.028,255,255
177,2.802,29.808,7.212,0,31.410,5.449,0,2.382,2.642,255,255
177,1.321,31.571,4.327,0,31.410,5.449,0,1.133,1.064,255,255
177,0.614,30.929,5.128,0,31.410,5.449,0,0.578,0.406,255,255
178,0.547,30.288,1.763,0,30.449,1.282,0,0.507,0.508,255,255
180,6.925,30.609,8.814,0,35.096,5.288,0,5.707,6.253,255,255
181,6.163,31.250,37.981,0,35.417,34.295,0,5.563,5.906,255,255
182,4.334,31.410,30.128,0,34.455,28.846,0,3.304,4.094,255,255
182,3.255,33.013,31.410,0,34.455,28.846,0,2.942,2.888,255,255
182,2.443,35.417,27.404,0,34.455,28.846,0,1.733,2.083,255,255
183,0.387,32.212,4.487,0,32.532,4.327,0,0.358,0.406,255,255
184,0.160,32.372,2.564,0,32.372,2.724,0,0.160,0.160,255,255
185,0.160,32.372,3.365,0,32.532,3.365,0,0.160,0.160,255,255
188,0.481,32.853,40.865,0,33.333,40.865,0,0.481,0.481,255,255
189,6.499,33.173,19.872,0,38.301,19.071,0,5.190,5.847,255,255
189,0.774,38.301,19.071,0,38.782,18.910,0,0.507,0.406,255,255
189,0.680,38.301,19.071,0,38.782,18.910,0,0.507,0.000,0,0
189,0.547,38.942,19.391,0,38.782,18.910,0,0.507,0.489,255,255
190,0.160,33.333,0.321,0,33.333,0.481,0,0.160,0.160,255,255
191,3.736,33.654,8.654,0,36.699,7.532,0,3.245,3.481,255,255
193,2.216,34.776,9.615,0,36.859,9.615,0,2.083,2.110,255,255
194,4.377,35.096,20.994,0,38.942,21.635,0,3.899,3.999,255,255
194,1.067,38.942,21.635,0,39.744,21.635,0,0.801,0.566,255,255
194,0.934,38.942,21.635,0,39.744,21.635,0,0.801,0.481,255,255
194,0.868,40.545,21.474,0,39.744,21.635,0,0.817,0.903,255,255
195,3.095,35.256,11.058,0,37.821,12.019,0,2.738,2.913,255,255
196,3.963,35.256,32.853,0,36.699,30.449,0,2.803,3.570,255,255
196,2.376,37.019,28.205,0,36.699,30.449,0,2.266,2.087,255,255
196,0.547,36.538,30.929,0,36.699,30.449,0,0.507,0.321,255,255
197,1.321,35.737,5.609,0,36.378,4.647,0,1.156,1.283,255,255
198,0.907,36.218,37.179,0,36.859,36.538,0,0.907,0.907,255,255
199,1.934,36.699,33.333,0,38.141,33.013,0,1.477,1.769,255,255
200,0.160,36.859,0.801,0,36.859,0.962,0,0.160,0.160,255,255
201,0.160,37.019,14.583,0,37.179,14.583,0,0.160,0.160,255,255
202,0.387,37.019,40.224,0,37.179,39.904,0,0.358,0.406,255,255
203,0.160,37.179,6.731,0,37.340,6.731,0,0.160,0.160,255,255
204,1.188,37.179,34.776,0,38.301,34.615,0,1.133,1.125,255,255
206,0.547,37.660,1.603,0,37.821,1.122,0,0.507,0.489,255,255
207,1.359,38.141,9.295,0,38.622,8.654,0,0.801,0.801,255,255
207,1.132,38.141,10.096,0,38.141,9.295,0,0.801,1.183,255,255
207,0.934,39.744,8.013,0,38.942,8.333,0,0.863,0.985,255,255
207,0.907,38.622,8.654,0,38.942,8.333,0,0.453,0.622,255,255
207,0.840,38.141,9.295,0,38.622,8.654,0,0.801,0.339,255,255
207,0.774,38.622,8.654,0,38.942,8.333,0,0.453,0.321,255,255
207,0.614,37.660,8.974,0,38.141,9.295,0,0.578,0.532,255,255
209,0.160,37.821,6.250,0,37.981,6.250,0,0.160,0.160,255,255
210,2.028,37.821,7.051,0,39.263,6.090,0,1.733,1.833,255,255
211,1.614,37.821,15.545,0,39.103,15.705,0,1.292,1.416,255,255
212,0.160,37.821,35.897,0,37.821,36.058,0,0.160,0.160,255,255
213,0.227,38.141,25.641,0,38.301,25.481,0,0.227,0.227,255,255
214,0.774,38.301,4.968,0,38.622,4.327,0,0.717,0.754,255,255
215,0.321,38.301,29.808,0,38.301,30.128,0,0.321,0.321,255,255
216,0.547,38.301,32.212,0,38.462,31.731,0,0.507,0.489,255,255
218,1.868,38.462,11.378,0,39.583,11.538,0,1.133,1.672,255,255
219,0.680,38.622,17.468,0,39.103,16.987,0,0.680,0.680,255,255
220,0.707,38.622,40.705,0,39.263,40.545,0,0.661,0.674,255,255
221,0.614,38.782,28.205,0,39.103,28.686,0,0.578,0.646,255,255
224,3.388,39.423,25.641,0,40.865,23.077,0,2.942,3.139,255,255
227,0.934,39.583,31.410,0,39.744,30.769,0,0.661,0.867,255,255
227,0.934,40.224,31.410,0,39.744,30.769,0,0.801,0.635,255,255
227,0.774,39.744,30.769,0,40.064,30.128,0,0.717,0.500,255,255
227,0.614,40.545,30.449,0,40.064,30.128,0,0.578,0.566,255,255
227,0.453,39.744,29.808,0,40.064,30.128,0,0.453,0.453,255,255
228,0.962,39.583,32.692,0,39.583,33.654,0,0.962,0.962,255,255
229,0.160,39.583,35.417,0,39.744,35.417,0,0.160,0.160,255,255
230,1.481,39.583,37.019,0,40.705,36.378,0,1.292,1.353,255,255
231,0.868,39.744,19.071,0,40.064,18.429,0,0.717,0.789,255,255
233,0.160,40.064,38.782,0,40.224,38.782,0,0.160,0.160,255,255
234,0.160,40.224,14.904,0,40.385,14.904,0,0.160,0.160,255,255
235,0.160,40.385,16.667,0,40.545,16.667,0,0.160,0.160,255,255
236,2.896,40.385,28.686,0,40.705,26.282,0,2.425,2.622,255,255
237,0.160,40.385,39.583,0,40.385,39.744,0,0.160,0.160,255,255
239,0.160,40.705,15.865,0,40.705,16.026,0,0.160,0.160,255,255
240,0.160,40.705,29.647,0,40.705,29.808,0,0.160,0.160,255,255
241,0.321,40.705,33.173,0,40.705,33.494,0,0.321,0.321,255,255
242,0.321,40.865,18.750,0,40.865,19.071,0,0.321,0.321,255,255
